Key,File,Type,UsedInMainMenu,NoTranslate,english
secretStorageIronSonja_01b,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01c,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01d,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01e,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01f,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01g,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01h,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01i,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01j,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01k,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01l,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01m,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01n,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01o,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01p,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01q,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01r,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01s,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01t,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01u,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01v,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_01w,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Carrier,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Tank,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Guns,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_JetGirls,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01a,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01b,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01c,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01d,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01e,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01f,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01g,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01h,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01i,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Canvas01j,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_MovieLongWolf,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_Movie2159,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_MammasJustice,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"
secretStorageIronSonja_MovieSexualTension,blocks,Block,,,"Secret Storage behind a Picture! [e599e4](FHD)[-]"

toolBoxStorageSonjaVariantHelper,blocks,Block,,,"Tool Box Storage Variants [e599e4](FHD)[-]"
toolBoxWhiteStorageSonja,blocks,Block,,,"Tool Box Secure Storage [e599e4](FHD)[-]"
toolBoxRedStorageSonja,blocks,Block,,,"Tool Box Secure Storage [e599e4](FHD)[-]"
toolBoxYellowStorageSonja,blocks,Block,,,"Tool Box Storage [e599e4](FHD)[-]"
toolBoxGreenStorageSonja,blocks,Block,,,"Tool Box Storage [e599e4](FHD)[-]"
toolBoxBlueStorageSonja,blocks,Block,,,"Tool Box Storage [e599e4](FHD)[-]"
toolBoxGreyStorageSonja,blocks,Block,,,"Tool Box Storage [e599e4](FHD)[-]"

rollingToolBoxStorageSonjaVariantHelper,blocks,Block,,,"Rolling Tool Box Storage Variants [e599e4](FHD)[-]"
rollingToolBoxWhiteStorageSonja,blocks,Block,,,"Rolling Tool Box Storage [e599e4](FHD)[-]"
rollingToolBoxRedStorageSonja,blocks,Block,,,"Rolling Tool Box Storage [e599e4](FHD)[-]"
rollingToolBoxYellowStorageSonja,blocks,Block,,,"Rolling Tool Box Storage [e599e4](FHD)[-]"
rollingToolBoxGreenStorageSonja,blocks,Block,,,"Rolling Tool Box Storage [e599e4](FHD)[-]"
rollingToolBoxBlueStorageSonja,blocks,Block,,,"Rolling Tool Box Storage [e599e4](FHD)[-]"
rollingToolBoxGreyStorageSonja,blocks,Block,,,"Rolling Tool Box Storage [e599e4](FHD)[-]"

miniCoolerStorageSonjaVariantHelper,blocks,Block,,,"Mini Cooler Storage Variants [e599e4](FHD)[-]"
miniCoolerFullStorageSonja,blocks,Block,,,"Mini Cooler Storage [e599e4](FHD)[-]"
miniCoolerEmptyStorageSonja,blocks,Block,,,"Mini Cooler Storage [e599e4](FHD)[-]"
miniCoolerOffsetFullStorageSonja,blocks,Block,,,"Mini Cooler Storage OffSet [e599e4](FHD)[-]"
miniCoolerOffsetEmptyStorageSonja,blocks,Block,,,"Mini Cooler Storage OffSet [e599e4](FHD)[-]"

medicineStorageSonjaVariantHelper,blocks,Block,,,"Medicin Storage Variants [e599e4](FHD)[-]"
pillCaseStorageSonja,blocks,Block,,,"Medicin Storage [e599e4](FHD)[-]"
medsCabinetStorageSonja,blocks,Block,,,"Medicin Storage [e599e4](FHD)[-]"

gasPumpStorageSonja,blocks,Block,,,"Gas Pump Storage [e599e4](FHD)[-]"
gasPumpStorageSonjaDesc,blocks,Block,,,"Secure storage for all your fuel or anything else you want.\n\nIf you destroy the storage you will get it back."

propaneTankStorageSonjaVariantHelper,blocks,Block,,,"Propane Tank Storage Variants [e599e4](FHD)[-]"
propaneTankWhiteStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"
propaneTankBrownStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"
propaneTankRedStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"
propaneTankOrangeStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"
propaneTankYellowStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"
propaneTankGreenStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"
propaneTankBlueStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"
propaneTankGreyStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"
propaneTankPinkStorageSonja,blocks,Block,,,"Propane Tank Storage [e599e4](FHD)[-]"

officeShelvSecureStorageSonjaVariantHelper,blocks,Block,,,"Office Shelf Storage Variants [e599e4](FHD)[-]"
secureDecoStorageSonjaDesc,blocks,Block,,,"Secure and Decorative Storage in several colors and variants.\n\nIf you destroy the storage you will get it back."
officeShelvFullSecureStorageSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStorageBrownSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStorageRedSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStorageOrangeSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStorageYellowSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStorageGreenSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStorageBlueSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStoragePurpleSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStorageGreySonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvFullSecureStoragePinkSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStorageSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStorageBrownSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStorageRedSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStorageOrangeSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStorageYellowSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStorageGreenSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStorageBlueSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStoragePurpleSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStorageGreySonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"
officeShelvEmptySecureStoragePinkSonja,blocks,Block,,,"Office Shelf Storage [e599e4](FHD)[-]"

bagStorageSonjaVariantHelper,blocks,Block,,,"Bags Storage Variants [e599e4](FHD)[-]"
purseStorageSonja,blocks,Block,,,"Purse Storage [e599e4](FHD)[-]"
sportsBagPinkStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
sportsBagPurpleStorageSonja,Block,,,"Bag Storage [e599e4](FHD)[-]"
sportsBagBlueStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
sportsBagGreenStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
sportsBagYellowStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
sportsBagOrangeStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
sportsBagRedStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
sportsBagBrownStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
sportsBagWhiteStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
backpackBlueStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
backpackWhiteStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
weaponsBagLargeStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"
weaponsBagSmallStorageSonja,blocks,Block,,,"Bag Storage [e599e4](FHD)[-]"

clothesRackStorageSonjaVariantHelper,blocks,Block,,,"Clothes Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack01StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack02StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack03StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack04StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack05StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack06StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack07StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack08StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack09StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack10StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack11StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack12StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack13StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack14StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack15StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack16StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack17StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"
clothesRack18StorageSonja,blocks,Block,,,"Racks & Shelfes Storage [e599e4](FHD)[-]"

drawerStorageSonjaVariantHelper,blocks,Block,,,"Drawer Storage Variants [e599e4](FHD)[-]"
drawerStorageSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStorageBrownSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStorageRedSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStorageOrangeSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStorageYellowSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStorageGreenSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStorageBlueSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStoragePurpleSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStorageGreySonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStorageBlackSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"
drawerStoragePinkSonja,blocks,Block,,,"Drawer Storage [e599e4](FHD)[-]"

gunRackStorageSonjaVariantHelper,blocks,Block,,,"Armor & Gun Racks Storage [e599e4](FHD)[-]"
gunRackSmall01StorageSonja,blocks,Block,,,"Small Mags Rack Storage [e599e4](FHD)[-]"
gunRackSmall02StorageSonja,blocks,Block,,,"Small Vests Rack Storage [e599e4](FHD)[-]"
gunRackLarge01StorageSonja,blocks,Block,,,"Large Guns Rack Storage [e599e4](FHD)[-]"
gunRackLarge02StorageSonja,blocks,Block,,,"Large Guns Rack Storage [e599e4](FHD)[-]"

footLockerStorageSonjaVariantHelper,blocks,Block,,,"Foot Locker Storage Variants [e599e4](FHD)[-]"
footLockerStorageSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageBrownSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageRedSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageOrangeSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageYellowSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageGreenSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageBlueSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageGreySonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageBlackSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStoragePinkSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"
footLockerStorageArmyGreenSonja,blocks,Block,,,"Foot Locker Storage [e599e4](FHD)[-]"

munitionsBoxStorageSonjaVariantHelper,blocks,Block,,,"Munitions Storage Variants [e599e4](FHD)[-]"
munitionsBoxStorageSonja,blocks,Block,,,"Munitions Storage [e599e4](FHD)[-]"
munitionsBoxStorageRedSonja,blocks,Block,,,"Munitions Storage [e599e4](FHD)[-]"
munitionsBoxStorageOrangeSonja,blocks,Block,,,"Munitions Storage [e599e4](FHD)[-]"
munitionsBoxStorageGreenSonja,blocks,Block,,,"Munitions Storage [e599e4](FHD)[-]"
munitionsBoxStorageBlueSonja,blocks,Block,,,"Munitions Storage [e599e4](FHD)[-]"
munitionsBoxStorageBlackSonja,blocks,Block,,,"Munitions Storage [e599e4](FHD)[-]"
munitionsBoxStoragePinkSonja,blocks,Block,,,"Munitions Storage [e599e4](FHD)[-]"

bookStorageSonjaVariantHelper,blocks,Block,,,"Books Storage Variants [e599e4](FHD)[-]"
bookStorage01Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage02Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage03Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage04Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage05Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage06Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage07Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage08Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage09Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage10Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage11Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage12Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage13Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage14Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"
bookStorage15Sonja,blocks,Block,,,"Books Storage [e599e4](FHD)[-]"

vendingStorageSonjaVariantHelper,blocks,Block,,,"Vending Storage Variants [e599e4](FHD)[-]"
vendingStorageRedSonja,blocks,Block,,,"Vending Storage Red [e599e4](FHD)[-]"
vendingStorageGreenSonja,blocks,Block,,,"Vending Storage Green [e599e4](FHD)[-]"
vendingStorageBlueSonja,blocks,Block,,,"Vending Storage Blue [e599e4](FHD)[-]"

miscWoodStorageSonjaVariantHelper,blocks,Block,,,"Misc Wood Safe Storage [e599e4](FHD)[-]"
bookcaseSafeStorageSonja,blocks,Block,,,"Bookcase Safe Storage [e599e4](FHD)[-]"
bookcaseCornerSafeStorageSonja,blocks,Block,,,"Corner Bookcase Safe Storage [e599e4](FHD)[-]"
nightstandSafeStorageSonja,blocks,Block,,,"Nightstand Safe Storage [e599e4](FHD)[-]"
cabinetBottomSafeStorageSonja,blocks,Block,,,"Cabinet Safe Storage [e599e4](FHD)[-]"
cabinetRoundSafeStorageSonja,blocks,Block,,,"Round Cabinet Safe Storage [e599e4](FHD)[-]"
counterHollowSafeStorageSonja,blocks,Block,,,"Counter Hollow Safe Storage [e599e4](FHD)[-]"
cupboardTopSafeStorageSonja,blocks,Block,,,"Cupboard Safe Storage [e599e4](FHD)[-]"
cupboardTopCornerSafeStorageSonja,blocks,Block,,,"Corner Cupboard Safe Storage [e599e4](FHD)[-]"

fridgeRetroSafeStorageSonja,blocks,Block,,,"Retro Fridge Safe Storage [e599e4](FHD)[-]"
fridgeSteelSafeStorageSonja,blocks,Block,,,"Steel Fridge Safe Storage [e599e4](FHD)[-]"
fridgeSafeStorageSonjaVariantHelper,blocks,Block,,,"Fridge Safe Storage Variants [e599e4](FHD)[-]"

fileCabinetShortSafeStorageSonja_Yellow,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetShortSafeStorageSonja_Brown,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetShortSafeStorageSonja_Green,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetShortSafeStorageSonja_Blue,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetShortSafeStorageSonja_Grey,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetShortSafeStorageSonja_Black,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetTallSafeStorageSonja_Yellow,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetTallSafeStorageSonja_Brown,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetTallSafeStorageSonja_Green,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetTallSafeStorageSonja_Blue,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetTallSafeStorageSonja_Grey,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
fileCabinetTallSafeStorageSonja_Black,blocks,Block,,,"File Cabinet Safe Storage [e599e4](FHD)[-]"
lockersShortSafeStorageSonja,blocks,Block,,,"Lockers Short Safe Storage [e599e4](FHD)[-]"
lockersTallSafeStorageSonja,blocks,Block,,,"Lockers Tall V1 Safe Storage [e599e4](FHD)[-]"
lockersTallSafeStorageSonja,blocks,Block,,,"Lockers Tall V2 Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Empty,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Food01,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Food02,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Hardware01,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Hardware02,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Pharma01,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Pharma02,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Electronics01,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
storeShelfSafeStorageSonja_Electronics02,blocks,Block,,,"Store Shelf Safe Storage [e599e4](FHD)[-]"
metalShelvesSafeStorageSonja_Full,blocks,Block,,,"Metal Shelves Safe Storage [e599e4](FHD)[-]"
metalShelvesSafeStorageSonja_Empty,blocks,Block,,,"Metal Shelves Safe Storage [e599e4](FHD)[-]"
militaryShelvesSafeStorageSonja_Full,blocks,Block,,,"Military Shelves Safe Storage [e599e4](FHD)[-]"
militaryShelvesSafeStorageSonja_Empty,blocks,Block,,,"Military Shelves Safe Storage [e599e4](FHD)[-]"
miscMetalStorageSonjaVariantHelper,blocks,Block,,,"Misc Metal Safe Storage Variants [e599e4](FHD)[-]"

pileAmmoSafeStorageSonja_Small,blocks,Block,,,"Ammo Pile Small Safe Storage [e599e4](FHD)[-]"
pileAmmoSafeStorageSonja_Medium,blocks,Block,,,"Ammo Pile Medium Safe Storage [e599e4](FHD)[-]"
pileAmmoSafeStorageSonja_Large,blocks,Block,,,"Ammo Pile Large Safe Storage [e599e4](FHD)[-]"
pileChemSafeStorageSonja_Small,blocks,Block,,,"Chem Pile Small Safe Storage [e599e4](FHD)[-]"
pileChemSafeStorageSonja_Medium,blocks,Block,,,"Chem Pile Medium Safe Storage [e599e4](FHD)[-]"
pileChemSafeStorageSonja_Large,blocks,Block,,,"Chem Pile Large Safe Storage [e599e4](FHD)[-]"
pileMedsSafeStorageSonja_A,blocks,Block,,,"Meds Pile V1 Safe Storage [e599e4](FHD)[-]"
pileMedsSafeStorageSonja_Corner,blocks,Block,,,"Meds Pile Corner Safe Storage [e599e4](FHD)[-]"
pileMedsSafeStorageSonja_B,blocks,Block,,,"Meds Pile V2 Safe Storage [e599e4](FHD)[-]"
pileFoodSafeStorageSonja_Small,blocks,Block,,,"Food Pile Small Safe Storage [e599e4](FHD)[-]"
pileFoodSafeStorageSonja_Corner,blocks,Block,,,"Food Pile Corner Safe Storage [e599e4](FHD)[-]"
pileFoodSafeStorageSonja_Medium,blocks,Block,,,"Food Pile Medium Safe Storage [e599e4](FHD)[-]"
pileFoodSafeStorageSonja_Large,blocks,Block,,,"Food Pile Large Safe Storage [e599e4](FHD)[-]"
pileStorageSonjaVariantHelper,blocks,Block,,,"Piles of Stuff Safe Storage [e599e4](FHD)[-]"

lightsLampsSonja,items,Item,,,"Sonja Lights & Lamps [e599e4](FHD)[-]"
lightsLampsSonjaDesc,items,Item,,,"Unlocks all the new lights and lamps included in [e599e4]Fancy Home Deco[-]\n\nIf you want this to be unlocked from the start please install the 'No Power Add-On'"

electricStoveSonjaVariant,blocks,Block,,,"Cozy Electric Stove Variants [e599e4](FHD)[-]"
electricStoveSonjaFunctional,blocks,Workstation,,,"Cozy Electric Stove - Cooking Station [e599e4](FHD)[-]"
electricStoveSonja,blocks,Light,,,"Cozy Electric Stove [e599e4](FHD)[-]"

signTrafficLightSonjaVariantHelper,blocks,Light,,,"Traffic Lights Variants [e599e4](FHD)[-]"

projectorSonjaVariantHelper,blocks,Light,,,"Projector & Camera Variants [e599e4](FHD)[-]"
projectorSonjaDesc,blocks,Light,,,"A Powered-light projector to watch your favorite zombie movies or plan your next POI raid.\n\nConnect to to a power grid to turn it on and off. Power needed 1w."
projectorSonjaTableTop,blocks,Light,,,"Table Top Projector [e599e4](FHD)[-]"
projectorSonjaCeiling,blocks,Light,,,"Ceiling Mounted Projector [e599e4](FHD)[-]"

signExitLightVariantHelper,blocks,Light,,,"Exit Sign Variants [e599e4](FHD)[-]"

popNpillsLightsignSonjaVariantHelper,blocks,Light,,,"Pop-N-Pills Light Variants [e599e4](FHD)[-]"
popNpillsLightsignBigSonja,blocks,Light,,,"Pop-N-Pills Light Big [e599e4](FHD)[-]"
popNpillsLightsignSmallSonja,blocks,Light,,,"Pop-N-Pills Light Small [e599e4](FHD)[-]"

xrayLightVariantHelper,blocks,Light,,,"X-Ray Light Variants [e599e4](FHD)[-]"
xrayLightFullSonja,blocks,Light,,,"X-Ray Light Full [e599e4](FHD)[-]"
xrayLightEmptySonja,blocks,Light,,,"X-Ray Light Empty [e599e4](FHD)[-]"

streetLightElegantClassicSonja,blocks,Light,,,"Elegant Classic Street Light [e599e4](FHD)[-]"

streetLightBigSonja,blocks,Light,,,"Big Elevated Street Light [e599e4](FHD)[-]"

endtableLampSonja,blocks,Light,,,"Powerable End Table Lamp Light [e599e4](FHD)[-]"

tableLampLightSonjaVariantHelper,blocks,Light,,,"Table Lamp Variants [e599e4](FHD)[-]"
tableLampSonjaWhite,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaBrown,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaRed,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaOrange,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaYellow,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaGreen,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
tableLampSonjaBlue,blocks,Light,,,"Table Lamp [e599e4](FHD)[-]"
